"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","/api/cart/add/anonymous-34442/C3P0/1",1,0,73,73,73,73,112,0.00
"GET","/api/cart/add/anonymous-34442/HHGTTG/1",1,0,450,452,452,452,178,0.00
"GET","/api/cart/add/anonymous-34443/K9/1",1,0,24,24,24,24,92,0.00
"GET","/api/cart/add/anonymous-34443/R2D2/1",1,0,24,24,24,24,175,0.00
"GET","/api/cart/add/anonymous-34444/K9/1",1,0,22,22,22,22,176,0.00
"GET","/api/cart/add/anonymous-34444/RD-10/1",1,0,490,494,494,494,115,0.00
"GET","/api/cart/add/anonymous-34445/HHGTTG/1",1,0,55,55,55,55,96,0.00
"GET","/api/cart/add/anonymous-34445/STAN-1/1",1,0,470,466,466,466,177,0.00
"GET","/api/cart/add/anonymous-34446/HHGTTG/1",1,0,460,464,464,464,96,0.00
"GET","/api/cart/add/anonymous-34446/ROB-1/1",1,0,21,21,21,21,169,0.00
"GET","/api/cart/add/anonymous-34447/EVE-1/1",1,0,53,53,53,53,113,0.00
"GET","/api/cart/add/anonymous-34447/HHGTTG/1",1,0,360,364,364,364,179,0.00
"GET","/api/cart/add/anonymous-34448/RD-10/1",2,0,26,295,26,563,116,0.01
"GET","/api/cart/add/anonymous-34449/HHGTTG/1",1,0,22,22,22,22,177,0.00
"GET","/api/cart/add/anonymous-34449/STAN-1/1",1,0,570,567,567,567,110,0.00
"GET","/api/cart/add/anonymous-34450/HAL-1/1",1,0,770,772,772,772,168,0.00
"GET","/api/cart/add/anonymous-34450/HHGTTG/1",1,0,50,50,50,50,96,0.00
"GET","/api/cart/add/anonymous-34451/HAL-1/1",1,0,560,560,560,560,102,0.00
"GET","/api/cart/add/anonymous-34451/STAN-1/1",1,0,51,51,51,51,179,0.00
"GET","/api/cart/add/anonymous-34452/HAL-1/1",1,0,450,453,453,453,102,0.00
"GET","/api/cart/add/anonymous-34452/HHGTTG/1",1,0,84,84,84,84,168,0.00
"GET","/api/cart/add/anonymous-34453/HAL-1/1",1,0,560,564,564,564,102,0.00
"GET","/api/cart/add/anonymous-34453/ROB-1/1",1,0,31,31,31,31,171,0.00
"GET","/api/cart/add/anonymous-34454/RD-10/1",1,0,22,22,22,22,184,0.00
"GET","/api/cart/add/anonymous-34454/ROB-1/1",1,0,27,27,27,27,103,0.00
"GET","/api/cart/add/anonymous-34455/ROB-1/1",1,0,88,88,88,88,103,0.00
"GET","/api/cart/add/anonymous-34455/STAN-1/1",1,0,430,430,430,430,182,0.00
"GET","/api/cart/add/anonymous-34456/R2D2/1",2,0,26,335,26,644,114,0.01
"GET","/api/cart/add/anonymous-34457/STAN-1/1",2,0,47,66,47,85,111,0.01
"GET","/api/cart/add/anonymous-34458/K9/1",1,0,88,88,88,88,92,0.00
"GET","/api/cart/add/anonymous-34458/R2D2/1",1,0,440,435,435,435,175,0.00
"GET","/api/cart/add/anonymous-34459/ROB-1/1",1,0,30,30,30,30,103,0.00
"GET","/api/cart/add/anonymous-34459/STAN-1/1",1,0,640,637,637,637,182,0.00
"GET","/api/cart/add/anonymous-34460/K9/1",1,0,380,381,381,381,92,0.00
"GET","/api/cart/add/anonymous-34460/ROB-1/1",1,0,26,26,26,26,163,0.00
"GET","/api/cart/add/anonymous-34461/EVE-1/1",1,0,24,24,24,24,113,0.00
"GET","/api/cart/add/anonymous-34461/HHGTTG/1",1,0,580,581,581,581,179,0.00
"GET","/api/cart/add/anonymous-34462/ROB-1/1",2,0,46,297,46,548,103,0.01
"GET","/api/cart/add/anonymous-34463/C3P0/1",1,0,560,560,560,560,180,0.00
"GET","/api/cart/add/anonymous-34463/RD-10/1",1,0,41,41,41,41,115,0.00
"GET","/api/cart/add/anonymous-34464/HAL-1/1",1,0,550,553,553,553,179,0.00
"GET","/api/cart/add/anonymous-34464/STAN-1/1",1,0,40,40,40,40,110,0.00
"GET","/api/cart/add/anonymous-34465/HHGTTG/1",1,0,22,22,22,22,177,0.00
"GET","/api/cart/add/anonymous-34465/STAN-1/1",1,0,480,478,478,478,110,0.00
"GET","/api/cart/add/anonymous-34466/K9/1",1,0,810,805,805,805,92,0.00
"GET","/api/cart/add/anonymous-34466/STAN-1/1",1,0,23,23,23,23,172,0.00
"GET","/api/cart/add/anonymous-34467/EVE-1/1",2,0,23,247,23,472,114,0.01
