"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET /api/cart/add/anonymous-34382/STAN-1/1",1,91,91,91,91,91,91,91,91,91
"GET /api/cart/add/anonymous-34383/EVE-1/1",1,38,38,38,38,38,38,38,38,38
"GET /api/cart/add/anonymous-34383/R2D2/1",1,69,69,69,69,69,69,69,69,69
"GET /api/cart/add/anonymous-34384/RD-10/1",2,760,760,760,760,760,760,760,760,760
"GET /api/cart/add/anonymous-34385/EVE-1/1",1,26,26,26,26,26,26,26,26,26
"GET /api/cart/add/anonymous-34385/ROB-1/1",1,160,160,160,160,160,160,160,160,160
"GET /api/cart/add/anonymous-34386/HHGTTG/1",1,160,160,160,160,160,160,160,160,160
"GET /api/cart/add/anonymous-34386/R2D2/1",1,32,32,32,32,32,32,32,32,32
"GET /api/cart/add/anonymous-34387/RD-10/1",1,22,22,22,22,22,22,22,22,22
"GET /api/cart/add/anonymous-34387/STAN-1/1",1,28,28,28,28,28,28,28,28,28
"GET /api/cart/add/anonymous-34388/C3P0/1",1,49,49,49,49,49,49,49,49,49
"GET /api/cart/add/anonymous-34388/STAN-1/1",1,120,120,120,120,120,120,120,120,120
"GET /api/cart/add/anonymous-34389/ROB-1/1",1,550,550,550,550,550,550,550,550,550
"GET /api/cart/add/anonymous-34389/STAN-1/1",1,43,43,43,43,43,43,43,43,43
"GET /api/cart/add/anonymous-34390/EVE-1/1",1,120,120,120,120,120,120,120,120,120
"GET /api/cart/add/anonymous-34390/HAL-1/1",1,49,49,49,49,49,49,49,49,49
"GET /api/cart/add/anonymous-34391/HAL-1/1",1,170,170,170,170,170,170,170,170,170
"GET /api/cart/add/anonymous-34391/RD-10/1",1,560,560,560,560,560,560,560,560,560
"GET /api/cart/add/anonymous-34392/K9/1",1,30,30,30,30,30,30,30,30,30
"GET /api/cart/add/anonymous-34392/RD-10/1",1,64,64,64,64,64,64,64,64,64
"GET /api/cart/add/anonymous-34393/HAL-1/1",1,550,550,550,550,550,550,550,550,550
"GET /api/cart/add/anonymous-34393/STAN-1/1",1,49,49,49,49,49,49,49,49,49
"GET /api/cart/add/anonymous-34394/HAL-1/1",1,86,86,86,86,86,86,86,86,86
"GET /api/cart/add/anonymous-34394/R2D2/1",1,90,90,90,90,90,90,90,90,90
"GET /api/cart/add/anonymous-34395/C3P0/1",1,30,30,30,30,30,30,30,30,30
"GET /api/cart/add/anonymous-34395/HAL-1/1",1,64,64,64,64,64,64,64,64,64
"GET /api/cart/add/anonymous-34396/R2D2/1",1,23,23,23,23,23,23,23,23,23
"GET /api/cart/add/anonymous-34396/STAN-1/1",1,78,78,78,78,78,78,78,78,78
"GET /api/cart/add/anonymous-34397/EVE-1/1",1,45,45,45,45,45,45,45,45,45
"GET /api/cart/add/anonymous-34397/RD-10/1",1,550,550,550,550,550,550,550,550,550
"GET /api/cart/add/anonymous-34398/K9/1",1,100,100,100,100,100,100,100,100,100
"GET /api/cart/add/anonymous-34398/STAN-1/1",1,560,560,560,560,560,560,560,560,560
"GET /api/cart/add/anonymous-34399/EVE-1/1",1,50,50,50,50,50,50,50,50,50
"GET /api/cart/add/anonymous-34399/HHGTTG/1",1,25,25,25,25,25,25,25,25,25
"GET /api/cart/add/anonymous-34400/HAL-1/1",1,89,89,89,89,89,89,89,89,89
"GET /api/cart/add/anonymous-34400/STAN-1/1",1,100,100,100,100,100,100,100,100,100
"GET /api/cart/add/anonymous-34401/C3P0/1",1,44,44,44,44,44,44,44,44,44
"GET /api/cart/add/anonymous-34401/STAN-1/1",1,280,280,280,280,280,280,280,280,280
"GET /api/cart/add/anonymous-34402/HHGTTG/1",1,150,150,150,150,150,150,150,150,150
"GET /api/cart/add/anonymous-34402/STAN-1/1",1,89,89,89,89,89,89,89,89,89
"GET /api/cart/add/anonymous-34403/C3P0/1",1,270,270,270,270,270,270,270,270,270
"GET /api/cart/add/anonymous-34403/R2D2/1",1,44,44,44,44,44,44,44,44,44
"GET /api/cart/add/anonymous-34404/C3P0/1",1,390,390,390,390,390,390,390,390,390
"GET /api/cart/add/anonymous-34404/RD-10/1",1,110,110,110,110,110,110,110,110,110
"GET /api/cart/add/anonymous-34405/C3P0/1",1,40,40,40,40,40,40,40,40,40
"GET /api/cart/add/anonymous-34405/R2D2/1",1,210,210,210,210,210,210,210,210,210
"GET /api/cart/add/anonymous-34406/R2D2/1",1,170,170,170,170,170,170,170,170,170
"GET /api/cart/add/anonymous-34406/RD-10/1",1,23,23,23,23,23,23,23,23,23
"GET /api/cart/add/anonymous-34407/HAL-1/1",1,180,180,180,180,180,180,180,180,180
"GET /api/cart/add/anonymous-34407/HHGTTG/1",1,350,350,350,350,350,350,350,350,350
"GET /api/cart/add/anonymous-34408/EVE-1/1",1,97,97,97,97,97,97,97,97,97
"GET /api/cart/add/anonymous-34408/K9/1",1,190,190,190,190,190,190,190,190,190
"GET /api/cart/add/anonymous-34409/ROB-1/1",2,160,160,160,160,160,160,160,160,160
"GET /api/cart/add/anonymous-34410/EVE-1/1",1,36,36,36,36,36,36,36,36,36
"GET /api/cart/add/anonymous-34410/STAN-1/1",1,360,360,360,360,360,360,360,360,360
"GET /api/cart/add/anonymous-34411/ROB-1/1",1,160,160,160,160,160,160,160,160,160
"GET /api/cart/add/anonymous-34411/STAN-1/1",1,160,160,160,160,160,160,160,160,160
"GET /api/cart/add/anonymous-34412/HHGTTG/1",2,180,180,180,180,180,180,180,180,180
"GET /api/cart/add/anonymous-34413/K9/1",1,150,150,150,150,150,150,150,150,150
"GET /api/cart/add/anonymous-34413/RD-10/1",1,190,190,190,190,190,190,190,190,190
"GET /api/cart/add/anonymous-34414/C3P0/1",1,47,47,47,47,47,47,47,47,47
"GET /api/cart/add/anonymous-34414/R2D2/1",1,120,120,120,120,120,120,120,120,120
"GET /api/cart/add/anonymous-34415/K9/1",1,81,81,81,81,81,81,81,81,81
"GET /api/cart/add/anonymous-34415/ROB-1/1",1,120,120,120,120,120,120,120,120,120
"GET /api/cart/add/anonymous-34416/K9/1",1,150,150,150,150,150,150,150,150,150
"GET /api/cart/add/anonymous-34416/R2D2/1",1,130,130,130,130,130,130,130,130,130
"GET /api/cart/add/anonymous-34417/C3P0/1",1,89,89,89,89,89,89,89,89,89
"GET /api/cart/add/anonymous-34417/K9/1",1,280,280,280,280,280,280,280,280,280
"GET /api/cart/add/anonymous-34418/STAN-1/1",2,150,150,150,150,150,150,150,150,150
"GET /api/cart/add/anonymous-34419/HHGTTG/1",1,200,200,200,200,200,200,200,200,200
"GET /api/cart/add/anonymous-34419/K9/1",1,120,120,120,120,120,120,120,120,120
"GET /api/cart/add/anonymous-34420/HAL-1/1",1,99,99,99,99,99,99,99,99,99
"GET /api/cart/add/anonymous-34420/K9/1",1,53,53,53,53,53,53,53,53,53
"GET /api/cart/add/anonymous-34421/RD-10/1",2,160,160,160,160,160,160,160,160,160
"GET /api/cart/add/anonymous-34422/K9/1",1,150,150,150,150,150,150,150,150,150
"GET /api/cart/add/anonymous-34422/ROB-1/1",1,92,92,92,92,92,92,92,92,92
"GET /api/cart/add/anonymous-34423/HHGTTG/1",1,50,50,50,50,50,50,50,50,50
"GET /api/cart/add/anonymous-34423/STAN-1/1",1,60,60,60,60,60,60,60,60,60
"GET /api/cart/add/anonymous-34424/R2D2/1",2,180,180,180,180,180,180,180,180,180
"GET /api/cart/add/anonymous-34425/EVE-1/1",1,23,23,23,23,23,23,23,23,23
"GET /api/cart/add/anonymous-34425/STAN-1/1",1,680,680,680,680,680,680,680,680,680
"GET /api/cart/add/anonymous-34426/C3P0/1",1,680,680,680,680,680,680,680,680,680
"GET /api/cart/add/anonymous-34426/R2D2/1",1,23,23,23,23,23,23,23,23,23
"GET /api/cart/add/anonymous-34427/C3P0/1",1,780,780,780,780,780,780,780,780,780
"GET /api/cart/add/anonymous-34427/HAL-1/1",1,23,23,23,23,23,23,23,23,23
"GET /api/cart/add/anonymous-34428/K9/1",1,180,180,180,180,180,180,180,180,180
"GET /api/cart/add/anonymous-34428/RD-10/1",1,77,77,77,77,77,77,77,77,77
"GET /api/cart/add/anonymous-34429/K9/1",1,58,58,58,58,58,58,58,58,58
"GET /api/cart/add/anonymous-34429/R2D2/1",1,22,22,22,22,22,22,22,22,22
"GET /api/cart/add/anonymous-34430/EVE-1/1",1,74,74,74,74,74,74,74,74,74
"GET /api/cart/add/anonymous-34430/RD-10/1",1,23,23,23,23,23,23,23,23,23
"GET /api/cart/add/anonymous-34431/RD-10/1",1,760,760,760,760,760,760,760,760,760
"GET /api/cart/add/anonymous-34431/ROB-1/1",1,25,25,25,25,25,25,25,25,25
"GET /api/cart/add/anonymous-34432/HHGTTG/1",1,25,25,25,25,25,25,25,25,25
"GET /api/cart/add/anonymous-34432/RD-10/1",1,22,22,22,22,22,22,22,22,22
"GET /api/cart/add/anonymous-34433/HHGTTG/1",2,910,910,910,910,910,910,910,910,910
"GET /api/cart/add/anonymous-34434/C3P0/1",1,88,88,88,88,88,88,88,88,88
"GET /api/cart/add/anonymous-34434/RD-10/1",1,87,87,87,87,87,87,87,87,87
"GET /api/cart/add/anonymous-34435/HAL-1/1",1,24,24,24,24,24,24,24,24,24
"GET /api/cart/add/anonymous-34435/RD-10/1",1,42,42,42,42,42,42,42,42,42
"GET /api/cart/add/anonymous-34436/R2D2/1",1,860,860,860,860,860,860,860,860,860
"GET /api/cart/add/anonymous-34436/ROB-1/1",1,24,24,24,24,24,24,24,24,24
"GET /api/cart/add/anonymous-34437/C3P0/1",1,690,690,690,690,690,690,690,690,690
"GET /api/cart/add/anonymous-34437/HHGTTG/1",1,22,22,22,22,22,22,22,22,22
"GET /api/cart/add/anonymous-34438/K9/1",1,530,530,530,530,530,530,530,530,530
"GET /api/cart/add/anonymous-34438/RD-10/1",1,68,68,68,68,68,68,68,68,68
"GET /api/cart/add/anonymous-34439/C3P0/1",1,450,450,450,450,450,450,450,450,450
"GET /api/cart/add/anonymous-34439/ROB-1/1",1,62,62,62,62,62,62,62,62,62
"GET /api/cart/add/anonymous-34440/C3P0/1",1,460,460,460,460,460,460,460,460,460
"GET /api/cart/add/anonymous-34440/R2D2/1",1,77,77,77,77,77,77,77,77,77
"GET /api/cart/add/anonymous-34441/RD-10/1",1,20,20,20,20,20,20,20,20,20
"GET /api/cart/add/anonymous-34441/ROB-1/1",1,73,73,73,73,73,73,73,73,73
"GET /api/cart/add/anonymous-34442/C3P0/1",1,73,73,73,73,73,73,73,73,73
"GET /api/cart/add/anonymous-34442/HHGTTG/1",1,450,450,450,450,450,450,450,450,450
"GET /api/cart/add/anonymous-34443/K9/1",1,24,24,24,24,24,24,24,24,24
"GET /api/cart/add/anonymous-34443/R2D2/1",1,24,24,24,24,24,24,24,24,24
"GET /api/cart/add/anonymous-34444/K9/1",1,22,22,22,22,22,22,22,22,22
"GET /api/cart/add/anonymous-34444/RD-10/1",1,490,490,490,490,490,490,490,490,490
